ID,Plant,Height,Width 1,Width 2,Stem Diameter,Pot Size,Date Planted,Notes
1169,SAME (Orange + Pink),14.1,5.75,5.1,0.3,,2/1/2020,
1170,CEOL (Orange),20.25,11.5,9,0.18,,2/6/2020,
1171,SANI (Orange + Yellow),8,10.4,9.8,0.51,,2/1/2020,
1172,CEOL (Orange),9.75,8.5,5.75,0.21,,2/1/2020,
1173,SANI (Orange + Yellow),16.3,19.4,9,0.39,,2/18/2020,
1174,ENCA (Pink),34,12.9,10.5,0.45,,2/1/2020,
1175,ADFA (Orange + Green),54.5,47,25,2.1,2 GAL,2/7/2020,
1176,ENCA (Pink),15.9,23,5,0.45,,2/18/2020,
1177,RHOV (White + Pink),12.7,7.71,6.33,0.47,,2/6/2020,
1178,RHOV (White + Pink),13.2,9.27,11.29,0.61,,2/6/2020,
1179,ENCA (Pink),7.8,8.9,5.4,0.35,,2/18/2020,
1180,MALA (White + Yellow),16.6,13,10.4,0.9,,2/20/2020,
1181,CEOL (Orange),11.1,5.9,5.6,0.2,,2/1/2020,
1182,HEWH (White),14.1,39.2,20,,,2/1/2020,moved b/c gopher
1183,ADFA (Orange + Green),46.9,22.6,15.5,1.4,1 GAL / 2 GAL,2/7/2020,
1184,CEOL (Orange),11.8,12.9,6.5,0.2,,2/6/2020,
1185,CEOL (Orange),24.1,8.9,7.4,0.24,,2/6/2020,
1186,MALA (White + Yellow),36.8,13.1,12.1,0.32,,2/21/2020,
1187,RHOV (White + Pink),10.16,6.64,6.6,0.53,,2/4/2020,
1188,CEOL (Orange),7.2,6,5,0.15,,2/1/2020,
1189,CEOL (Orange),7.5,6.8,4.9,0.18,,2/1/2020,
1190,CEOL (Orange),8.6,6.2,5.5,0.21,,2/1/2020,
1191,ADFA (Orange + Green),61.6,25,19,0.46,1 GAL ,2/7/2020,
1192,ENCA (Pink),26.7,6.9,4.8,0.28,,2/6/2020,
1193,SAME (Orange + Pink),12.3,6.1,5.25,0.21,,2/1/2020,
1194,ADFA (Orange + Green),58.5,38.5,37.5,2.7, 2 GAL,2/7/2020,
1195,MALA (White + Yellow),31.6,16.5,10.75,0.39,,3/3/2020,
1196,MALA (White + Yellow),36.25,14.4,13.75,0.38,,2/1/2020,
1197,SANI (Orange + Yellow),,,,,,2/14/2020,
1198,RHOV (White + Pink),12.4,8.97,6.85,0.42,,2/6/2020,
1199,SAME (Orange + Pink),5.4,2.3,1.9,0.18,,2/1/2020,
1200,ENCA (Pink),28.25,23.75,19,0.42,,2/1/2020,
1201,ADFA (Orange + Green),42.5,58,48,0.83,1 GAL,2/18/2020,
1202,SAAP (White + Green),13,20.5,11,0.62,,2/14/2020,
1203,HEWH (White),19.2,30.2,26,,,2/3/2020,
1204,RHOV (White + Pink),9.19,7.05,6.8,0.51,,2/3/2020,
1205,SANI (Orange + Yellow),10.5,23.5,12.5,0.26,,2/14/2020,
1206,CEOL (Orange),15,7.9,7.8,0.23,,2/6/2020,
1207,SANI (Orange + Yellow),12.25,11,7.25,0.33,,2/14/2020,
1208,HEWH (White),18,49.75,19,0.5,,2/20/2020,
1209,ADFA (Orange + Green),25.3,55.5,49.4,0.54,1 GAL ,2/3/2020,
1210,SAAP (White + Green),11.75,12.75,9.75,0.2,,2/20/2020,
1211,SANI (Orange + Yellow),6.75,11.25,11,0.35,,2/14/2020,
1212,CEOL (Orange),24.5,11.5,8.5,0.23,,2/14/2020,
1213,ENCA (Pink),8.25,5.75,4.9,0.25,,2/20/2020,
1214,SAAP (White + Green),9,6.25,5.25,0.24,,2/20/2020,
1215,RHOV (White + Pink),7.2,5.49,5.9,0.41,,2/3/2020,
1216,SAME (Orange + Pink),43.75,16.25,15,0.45,,2/14/2020,
1217,RHOV (White + Pink),12.7,7.63,6.6,0.55,,2/4/2020,
1218,MALA (White + Yellow),33.5,12.6,11.4,0.59,,3/3/2020,
1219,CEOL (Orange),15.25,10.75,9.5,0.26,,2/14/2020,
1220,SAAP (White + Green),25,16.2,11.6,0.3,,2/14/2020,
1221,ENCA (Pink),40.3,29,13.8,0.35,,2/27/2020,
1222,ADFA (Orange + Green),38.6,47.9,31.2,0.59,1 GAL,2/21/2020,
1223,HEWH (White),24.9,39.5,12.1,,,2/27/2020,
1224,ADFA (Orange + Green),41.8,50.4,44.9,0.5,1 GAL,2/21/2020,
1225,MALA (White + Yellow),36.75,13.75,11.5,0.47,,2/14/2020,
1226,ENCA (Pink),40.6,22.8,15.5,0.44,,2/1/2020,
1227,ADFA (Orange + Green),45.3,43.8,29.2,1.01,2 GAL,2/4/2020,
1228,CEOL (Orange),10.1,7.1,5.8,0.2,,2/1/2020,
1229,HEWH (White),15.8,37.3,26.2,,,2/1/2020,
1230,SAAP (White + Green),17.6,4.8,4.4,0.35,,2/20/2020,
1231,HEAR,13.5,15.3,11.4,0.5,,2/1/2020,
1232,HEWH (White),21.1,35.7,27.9,,,2/1/2020,
1233,SAME (Orange + Pink),15.9,5.4,4.2,0.23,,2/1/2020,
1234,CEOL (Orange),8.3,6.4,5.7,0.26,,2/1/2020,
1235,MALA (White + Yellow),24.4,11.8,12.6,0.45,,3/3/2020,
1236,RHOV (White + Pink),15.1,6.8,7.1,0.49,,2/1/2020,
1237,RHOV (White + Pink),8.7,7.6,7.3,0.4,,2/1/2020,
1238,ADFA (Orange + Green),54.3,57.9,40.3,1.34,2 GAL,2/4/2020,
1239,ADFA (Orange + Green),61.2,50.5,45.5,2.23,2 GAL,2/21/2020,already brown
1240,ADFA (Orange + Green),60.2,61.7,51.5,1.7,2 GAL,2/21/2020,
1241,HEWH (White),16.6,55.8,35.7,,,2/1/2020,
1242,SANI (Orange + Yellow),14.75,20,20,0.42,,2/18/2020,
1243,ADFA (Orange + Green),39.1,48.6,49.8,0.7,1 GAL,2/21/2020,
1244,RHOV (White + Pink),12.88,7.8,5.97,0.44,,2/4/2020,
1245,ADFA (Orange + Green),46.2,58.9,55.3,0.7,1 GAL,2/21/2020,
1246,SANI (Orange + Yellow),7.5,13.8,12.8,0.23,,2/18/2020,
1247,ADFA (Orange + Green),58.6,46.1,33.1,1.6,2 GAL,2/21/2020,
1248,SANI (Orange + Yellow),11,20,15.75,0.41,,2/18/2020,
1249,ADFA (Orange + Green),49.2,59.5,39.8,0.5,1 GAL,2/21/2020,
1250,RHOV (White + Pink),7.67,6.19,4.76,0.36,,2/4/2020,
1251,ENCA (Pink),32.1,24.9,9.8,0.39,,3/3/2020,
1252,HEWH (White),16.3,29.7,20.6,,,3/3/2020,
1253,RHOV (White + Pink),,,,,,2/4/2020,
1254,CEOL (Orange),7,4,3.3,0.18,,2/20/2020,
1255,RHOV (White + Pink),8.25,7.01,4.7,0.42,,2/4/2020,
1256,HEWH (White),11,26.1,18.1,,,3/2/2020,
1257,HEWH (White) RHOV,18,10.7,10.3,0.71,,2/20/2020,
1258,RHOV (White + Pink),7.46,4.78,4.83,0.34,,2/4/2020,
1259,CEOL (Orange),7.4,5.2,5.1,0.27,,2/20/2020,
1260,RHOV (White + Pink),8.67,7.1,3.44,0.32,,2/4/2020,
1261,RHOV (White + Pink),5.36,4.02,4.2,0.24,,2/4/2020,
1262,MALA (White + Yellow),45.7,29.2,26.3,0.6,,2/21/2020,
1263,SANI (Orange + Yellow),12.2,9.8,7.6,0.42,,2/18/2020,
1264,RHOV (White + Pink),7.75,0.5,6,0.26,,2/7/2020,
1265,HEWH (White),24.2,27.2,28.5,,,2/5/2020,
1266,RHOV (White + Pink),5.38,4.92,4.44,0.27,,2/3/2020,
1267,CEOL (Orange),16.5,13.9,11.5,3.6,,2/5/2020,
1268,HEWH (White),32.9,48,10.1,,,2/5/2020,
1269,MALA (White + Yellow),35.75,13.25,12.5,0.41,,2/14/2020,
1270,ADFA (Orange + Green),69,34,33.5,0.95,2 GAL,2/3/2020,
1271,SAME (Orange + Pink),21.4,9.9,7.4,0.57,,2/3/2020,
1272,ENCA (Pink),43.1,8.72,6.93,0.43,,2/5/2020,
1273,ENCA (Pink),31.2,8.2,8.6,0.66,,2/5/2020,
1274,ADFA (Orange + Green),39.4,54.6,43.5,0.76,1 GAL,2/3/2020,
1275,ADFA (Orange + Green),51,42.1,31.2,1.34,2 GAL,2/4/2020,
1276,RHOV (White + Pink),12.7,7.9,6.4,0.41,,3/27/2020,replant and moved
1277,MALA (White + Yellow),38.4,14.3,13.9,0.43,,2/21/2020,
1278,SANI (Orange + Yellow),13.75,24.5,16.75,0.6,,2/18/2020,
1279,HEWH (White),22.1,48.3,29.2,,,3/3/2020,
1280,SANI (Orange + Yellow),8.4,20.5,12.3,0.39,,2/21/2020,
1281,CEOL (Orange),12,12.1,7.2,0.3,,3/2/2020,
1282,CEOL (Orange),,,,,,3/2/2020,
1283,ENCA (Pink),7.2,4.9,3.4,0.15,,2/21/2020,
1284,HEWH (White),27.3,51.4,12.3,,,3/3/2020,
1285,CEOL (Orange),20,11.6,6.5,0.26,,2/6/2020,
1286,HEWH (White),27.2,43.4,31.2,,,2/27/2020,
1287,HEWH (White),31.4,34.3,13.7,,,2/27/2020,
1288,SAAP (White + Green),23.4,12.6,10.3,0.39,,2/13/2020,
1289,ADFA (Orange + Green),63.5,34.6,32.9,1.3,2 GAL,2/21/2020,
1290,HEAR,20.8,15.6,13.1,0.27,,2/27/2020,
1291,SAME (Orange + Pink),13.25,7.5,6.8,0.29,,3/3/2020,
1292,ENCA (Pink),32,6.5,5.25,0.55,,3/3/2020,
1293,HEWH (White),12.2,53.1,19,,,3/2/2020,
1294,RHOV (White + Pink),6,5.5,3.25,0.28,,2/7/2020,
1295,CEOL (Orange),8.3,7.1,5.9,0.2,,2/20/2020,
1296,MALA (White + Yellow),38.8,18.8,13,0.4,,2/21/2020,
1297,HEWH (White),22.4,53.75,37.75,,,3/3/2020,
1298,ADFA (Orange + Green),52.4,63.2,50.7,0.81,1 GAL,2/21/2020,
1299,CEOL (Orange),14,7.5,5.7,0.22,,2/21/2020,
1300,ENCA (Pink),6.8,21.5,8.2,0.3,,3/2/2020,
1301,ADFA (Orange + Green),28,35.1,38.9,0.54,1 GAL ,2/3/2020,
1302,HEWH (White),22,43.5,41.5,1.41,,2/18/2020,
1303,ENCA (Pink),26.25,7.5,6.5,0.34,,2/6/2020,
1304,ENCA (Pink),30,7.5,6,0.31,,2/6/2020,
1305,ADFA (Orange + Green),64.5,44,37,1.8,2 GAL,2/7/2020,
1306,MALA (White + Yellow),40,13.75,13.5,0.37,,2/27/2020,
1307,SAAP (White + Green),4.8,10.6,10.4,0.263,,2/1/2020,
1308,ENCA (Pink),32,7.5,7.1,0.35,,2/27/2020,
1309,NO PLANT,,,,,,,i-button present
1310,RHOV (White + Pink),15.4,7.93,6.86,0.43,,2/6/2020,
1311,HEWH (White),14.1,26,19.2,,,2/1/2020,
1312,RHOV (White + Pink),8,7.25,4.5,0.33,,2/6/2020,
1313,RHOV (White + Pink),12.25,12.5,6.5,0.57,,2/6/2020,
1314,SAME (Orange + Pink),8.3,6.2,4.6,0.3,,2/1/2020,
1315,ENCA (Pink),29,11,10.5,0.37,,2/6/2020,
1316,SAME (Orange + Pink),6.4,4.9,4.4,0.24,,2/1/2020,
1317,HEWH (White),24.8,31.5,11.5,,,2/1/2020,
1318,SANI (Orange + Yellow),11.6,13.1,9.6,0.35,,2/1/2020,
1319,SAAP (White + Green),13.9,6.3,6,0.35,,2/1/2020,
1320,SAME (Orange + Pink),8.8,8.9,6.1,0.21,,2/1/2020,
1321,CEOL (Orange),25.75,25.5,5.25,0.45,,2/6/2020,
1322,RHOV (White + Pink),11.5,9.5,9,0.46,,2/6/2020,
1323,HEWH (White),20.9,32.9,11.6,,,2/1/2020,
1324,SAME (Orange + Pink),10.4,9.4,6.9,0.2,,2/1/2020,
1325,SAME (Orange + Pink),14.7,5.9,4.7,,,2/1/2020,
1326,MALA (White + Yellow),31.4,11.8,11.4,0.39,,2/1/2020,
1327,SANI (Orange + Yellow),6,9.9,4.3,2.9,,2/1/2020,
1328,SAME (Orange + Pink),9.8,6.1,3.5,0.13,,2/1/2020,
1329,HEWH (White),35.6,58.2,38.8,0.26,,2/1/2020,ant hill
1330,ENCA (Pink),31.25,7.5,6.5,0.44,,2/6/2020,
1331,SAME (Orange + Pink),10.4,4.2,4.8,0.212,,2/1/2020,
1332,ENCA (Pink),27.5,6.5,5.5,0.31,,2/6/2020,
1333,HEWH (White),19.8,41,27.4,,,2/1/2020,
1334,HEWH (White),30.3,56.2,48.7,,,2/1/2020,gopher - moved plot
1335,ENCA (Pink),29.5,9.7,8.2,0.194,,2/1/2020,
1336,RHOV (White + Pink),,,,,,2/6/2020,
1337,MALA (White + Yellow),,,,,,2/1/2020,
1338,CEOL (Orange),25.75,16,11.5,0.26,,2/6/2020,
1339,HEWH (White),33,57.2,8,,,2/18/2020,
1340,CEOL (Orange),10.75,7,6,0.12,,2/6/2020,
1341,SANI (Orange + Yellow),17.3,17.8,15.9,0.43,,2/18/2020,
1342,ENCA (Pink),34.6,25.1,4.3,0.347,,2/1/2020,
1343,SAAP (White + Green),20.5,14.6,8,0.27,,2/18/2020,
1344,CEOL (Orange),8.75,7.75,7.25,0.15,,2/6/2020,
1345,RHOV (White + Pink),12.5,9.5,8.75,0.63,,2/6/2020,
1346,HEWH (White),23,45.6,29.5,,,2/1/2020,
1347,ADFA (Orange + Green),54,64,47,1.53,2 GAL,2/6/2020,
1348,MALA (White + Yellow),41.2,21,14,0.48,,2/18/2020,
1349,SAME (Orange + Pink),8.6,5.8,4.3,0.19,,3/3/2020,
1350,RHOV (White + Pink),10.5,9.75,6.5,0.44,,2/6/2020,
1351,ADFA (Orange + Green),56.5,44.5,30,2.2,2 GAL,2/6/2020,
1352,CEOL (Orange),19.5,9.5,10.5,0.21,,2/6/2020,
1353,RHOV (White + Pink),8.75,9.75,6,0.44,,2/6/2020,
1354,HEWH (White),20.2,29.7,27,,,2/18/2020,
1355,SANI (Orange + Yellow),14.5,22,19.7,0.44,,2/18/2020,
1356,RHOV (White + Pink),10.75,7.25,6,0.51,,2/6/2020,
1357,ENCA (Pink),24.9,17.1,14.3,0.37,,2/1/2020,
1358,CEOL (Orange),14.5,9,6,0.38,,2/6/2020,
1359,ADFA (Orange + Green),25.2,62.4,24.6,0.58,1 GAL,2/1/2020,
1360,CEOL (Orange),3.7,3,2,0.14,,2/1/2020,
1361,ENCA (Pink),23.75,18.75,15.75,0.29,,2/1/2020,
1362,ADFA (Orange + Green),44.6,43.5,42.75,0.7,1 GAL,2/1/2020,
1363,SAME (Orange + Pink),8.6,5.3,5,0.22,,2/1/2020,
1364,RHOV (White + Pink),5.08,5.11,5.09,0.22,,2/6/2020,
1365,ENCA (Pink),28.25,26,21.75,0.38,,2/1/2020,
1366,SAAP (White + Green),12.1,9.4,9,0.39,,2/1/2020,
1367,RHOV (White + Pink),6.26,5.35,5.26,0.22,,2/6/2020,
1368,RHOV (White + Pink),11.5,6.29,5.44,0.41,,2/6/2020,
1369,ENCA (Pink),29.4,23.1,5.9,0.37,,2/6/2020,
1370,HEWH (White),12,14.9,3,,,2/18/2020,
1371,CEOL (Orange),21,13.1,10.1,0.19,,2/6/2020,
1372,HEWH (White),24.5,20,34.2,,,2/18/2020,
1373,MALA (White + Yellow),24,11.25,11.25,0.301,,2/21/2020,
1374,SANI (Orange + Yellow),13.1,24.5,13.4,0.34,,2/21/2020,
1375,CEOL (Orange),9.1,6.6,4.4,0.3,,2/1/2020,
1376,HEAR,17.9,13.2,9.6,0.322,,2/1/2020,
1377,SANI (Orange + Yellow),11,23.5,21.25,0.41,,2/18/2020,
1378,SAME (Orange + Pink),8.5,6.2,5.4,0.27,,2/1/2020,
1379,HEWH (White),16.3,37.1,33.3,,,2/1/2020,
1380,RHOV (White + Pink),9.25,7.5,6.5,0.39,,2/7/2020,
1381,CEOL (Orange),7.75,6,5.4,0.25,,2/1/2020,
1382,SAME (Orange + Pink),8,7.1,6.2,0.23,,2/1/2020,plot moved bc gopher
1383,RHOV (White + Pink),14.7,12.4,9.9,0.6,,2/21/2020,
1384,CEOL (Orange),6.5,6.4,6.1,0.21,,2/20/2020,
1385,SAAP (White + Green),12.2,15.3,14.4,0.6,,2/1/2020,
1386,RHOV (White + Pink),9,8.25,6,0.41,,2/7/2020,
1387,CEOL (Orange),14.3,8,6.7,0.22,,3/3/2020,
1388,CEOL (Orange),9.3,6.7,4.4,0.15,,2/1/2020,
1389,HEWH (White),24.2,50,17.8,,,2/1/2020,
1390,RHOV (White + Pink),12.4,7.1,5.1,0.42,,3/27/2020,replant and moved
1391,CEOL (Orange),9.2,5.3,4.3,0.37,,2/1/2020,
1392,CEOL (Orange),19.6,8.5,6.2,0.26,,3/2/2020,
1393,SANI (Orange + Yellow),10,19.5,11,0.42,,2/20/2020,
1394,ADFA (Orange + Green),57,49,22.5,0.7,1 GAL,2/21/2020,
1395,ADFA (Orange + Green),63.5,42.5,20,2.5,2 GAL,2/21/2020,
1396,HEWH (White),37.3,56.1,34.9,,,2/1/2020,
1397,MALA (White + Yellow),28.2,16.2,9.2,0.39,,2/21/2020,
1398,HEWH (White),,,,,,2/1/2020,
1399,RHOV (White + Pink),15.4,8.55,6.03,0.65,,2/6/2020,
1400,SAAP (White + Green),13.1,7.1,3.7,0.22,,2/28/2020,
1401,CEOL (Orange),14.5,8,7.2,0.22,,2/20/2020,
1402,RHOV (White + Pink),13.2,9.6,7.3,0.43,,3/27/2020,replant
1403,MALA (White + Yellow),35.7,12.4,11.8,0.4,,2/21/2020,
1404,HEAR,11.5,10.8,8.7,0.37,,3/4/2020,
1405,RHOV (White + Pink),7.51,5.61,5.24,0.32,,2/6/2020,
1406,CEOL (Orange),9.5,7.4,6.8,0.2,,2/28/2020,
1407,HEAR,8,11.8,9.9,0.37,,3/4/2020,
1408,RHOV (White + Pink),11.51,7.41,4.83,0.56,,2/6/2020,
1409,HEAR,16.9,8.7,8.3,0.41,,3/4/2020,
1410,HEAR,12.1,9.2,9.1,0.34,,3/4/2020,
1411,HEAR,8.9,9,6.1,0.29,,3/4/2020,
1412,RHOV (White + Pink),12.9,8.8,4.48,0.37,,2/6/2020,
1413,RHOV (White + Pink),9.5,6.9,6.5,0.49,,3/27/2020,replant
1414,RHOV (White + Pink),14,6.41,5.81,0.49,,2/6/2020,
1415,HEAR,10.1,7.7,6.9,0.28,,3/4/2020,
1416,HEAR,9.5,10.1,7.4,0.35,,3/4/2020,
1417,HEAR,11.6,10.3,9.2,0.32,,3/4/2020,
1418,ADFA (Orange + Green),60.3,56.8,29.6,1.24,2 GAL,2/21/2020,
1419,SAAP (White + Green),11.6,12.5,5.8,0.3,,2/1/2020,
1420,HEAR,8.3,9.7,7.6,0.34,,3/4/2020,
1421,HEAR,12,9.7,8.6,0.32,,3/4/2020,
1422,HEAR,5.3,5.2,4.5,0.2,,3/4/2020,
1423,HEAR,9.4,6.5,6.4,0.3,,3/4/2020,
1424,HEAR,11.4,7.8,7.2,0.41,,3/4/2020,
1425,HEAR,12,15.8,11,0.4,,3/4/2020,
1426,HEAR,10.2,8,7.3,0.3,,3/4/2020,
1427,HEAR,10.3,8.3,6.4,0.33,,3/4/2020,
1428,HEAR,7.6,8.2,5.5,0.29,,3/4/2020,
1429,HEAR,14.9,14,13.9,0.39,,3/4/2020,
1430,HEAR,20.2,14.6,11.8,0.51,,3/4/2020,
1431,HEAR,11.1,11.2,10.4,0.38,,3/4/2020,
1432,HEAR,11.4,9.8,7.4,0.29,,3/4/2020,
1433,HEAR,7.7,11.6,4.9,0.4,,3/4/2020,
1434,HEAR,16.6,17,12.9,0.34,,3/4/2020,
1435,HEAR,8.9,10.6,8.8,0.5,,3/4/2020,
1436,HEAR,13.1,9.4,7.8,0.41,,3/4/2020,
1437,HEAR,12.7,9.2,6.7,0.3,,3/4/2020,
1438,HEAR,12.5,8.4,7.3,0.3,,3/4/2020,
1439,HEAR,9,10.1,7.6,0.3,,3/5/2020,
1440,HEAR,9.3,8,6.5,0.22,,3/5/2020,
1441,HEAR,7.8,6.7,4.2,0.23,,3/5/2020,
1442,HEAR,12.5,9.4,6.4,0.4,,3/4/2020,
1443,HEAR,8.3,11.2,6.1,0.49,,3/5/2020,
1444,HEAR,9.4,9.1,7.8,0.6,,3/5/2020,
1445,HEAR,9.4,10.4,5.5,0.42,,3/5/2020,
1446,HEAR,10.6,10.9,5.1,0.27,,3/5/2020,
1447,HEAR,13,8.7,6.5,0.3,,3/4/2020,
1448,HEAR,8.5,7,5.6,0.26,,3/5/2020,
1449,HEAR,10.6,9.6,9.7,0.4,,3/4/2020,
1450,HEAR,9.6,8.6,7.3,0.3,,3/4/2020,
1451,HEAR,7.6,7.8,4.9,0.3,,3/5/2020,
1452,HEAR,9.1,10.2,7.1,0.3,,3/5/2020,
1453,HEAR,11.4,9.3,6.8,0.4,,3/4/2020,
1454,HEAR,8.2,10.6,7.4,0.57,,3/5/2020,
1455,HEAR,7.9,9.4,5.7,0.21,,3/4/2020,
1456,HEAR,8.4,9.7,5.7,0.32,,3/4/2020,
1457,HEAR,7.7,6.8,6.3,0.27,,3/4/2020,
1458,HEAR,13.9,12.9,10.8,0.35,,3/5/2020,
1459,HEAR,10.8,7.2,6.3,0.29,,3/5/2020,
1460,HEAR,8.1,7.6,4.9,0.31,,3/5/2020,
1461,HEAR,7.3,5.3,5,0.3,,3/5/2020,
1462,ADFA (Orange + Green),20.2,60.75,40,0.88,1 GAL,3/5/2020,
1463,ADFA (Orange + Green),56.75,38,37.25,1.21,2 GAL,3/5/2020,
1464,ADFA (Orange + Green),42.5,62,33,1.69,2 GAL,3/5/2020,
1465,ADFA (Orange + Green),52.75,30.75,23.75,1,2 GAL,3/5/2020,
1466,ADFA (Orange + Green),51,22.5,16.75,0.76,1 GAL,3/5/2020,
1467,ADFA (Orange + Green),48.25,65,32.5,1.28,2 GAL,3/5/2020,
1468,ADFA (Orange + Green),36,36,24.25,1.62,2 GAL,3/5/2020,
1469,ADFA (Orange + Green),58,59.5,50.25,1.98,2 GAL,3/5/2020,
1470,ADFA (Orange + Green),54.25,37.25,36.5,1.55,2 GAL,3/5/2020,
1471,ADFA (Orange + Green),55.25,41.5,33.3,1.29,2 GAL,3/5/2020,
1472,ADFA (Orange + Green),50.1,36.25,29,1.11,2 GAL,3/5/2020,
1473,ADFA (Orange + Green),58.25,36,35.25,1.38,2 GAL,3/5/2020,
1474,ADFA (Orange + Green),36.75,36.75,31,0.52,1 GAL,3/5/2020,
1475,ADFA (Orange + Green),62,53.5,47.25,0.58,1 GAL,3/5/2020,
1476,ADFA (Orange + Green),53.5,33,27.5,1.12,2 GAL,3/5/2020,
1477,ADFA (Orange + Green),42.9,41.75,27.5,0.61,1 GAL,3/5/2020,
1478,HEAR,7.1,6.3,3,0.31,,3/5/2020,
1479,SANI (Orange + Yellow),10.6,14.5,6.3,0.4,,3/6/2020,
1480,HEAR,10.6,8.2,8.1,0.22,,3/5/2020,
1481,HEAR,6.9,11.1,6,0.41,,3/5/2020,
1482,HEAR,10.1,7.6,6.8,0.3,,3/5/2020,
1483,HEAR,6.3,9.1,5.3,0.29,,3/5/2020,
1484,HEAR,8.6,7.7,7.2,0.43,,3/5/2020,
1485,HEAR,8.6,11.6,8.1,0.44,,3/5/2020,
1486,HEAR,7.2,7.5,6.8,0.3,,3/5/2020,
1487,HEAR,7.9,8.2,8.6,0.34,,3/5/2020,
1488,HEAR,10.2,6.1,5,0.29,,3/5/2020,
1489,NO PLANT,,,,,,,
1490,NO PLANT,,,,,,,
1491,HEAR,12.9,8.3,7.3,0.26,,3/5/2020,
1492,HEAR,9.8,7.2,7,0.38,,3/5/2020,
1493,HEAR,9,9.2,6.2,0.38,,3/5/2020,
1494,HEAR,7.7,9.9,8.1,0.31,,3/5/2020,
1495,HEAR,8.6,6.3,5.9,0.5,,3/5/2020,
1496,HEAR,8.9,9.1,6,0.35,,3/5/2020,
1497,HEAR,8.5,6.4,5.2,0.28,,3/5/2020,
1498,HEAR,10.1,8.9,8.8,0.43,,3/5/2020,
1499,HEAR,6.8,7.2,6.8,0.39,,3/5/2020,
1500,HEAR,8.7,13.6,3.4,0.48,,3/5/2020,
1501,SAME (Orange + Pink),9.6,4.2,3.5,0.15,,3/6/2020,
1502,SANI (Orange + Yellow),10.4,12.1,10.9,0.25,,3/6/2020,
1503,SAME (Orange + Pink),9,5.1,5,0.19,,3/6/2020,
1504,SAME (Orange + Pink),5.1,2.5,2,0.14,,3/6/2020,
1505,SANI (Orange + Yellow),8.2,11.1,7.5,0.24,,3/6/2020,
1506,SANI (Orange + Yellow),15.2,15.1,13.5,0.41,,3/6/2020,
1507,HEAR,11.1,11,6.9,0.23,,3/5/2020,
1508,HEAR,7.9,8.1,3.2,0.52,,3/5/2020,
1509,HEAR,8.3,6.2,3.8,0.23,,3/5/2020,
1510,HEAR,18.3,11.6,10.4,0.61,,3/9/2020,
1511,HEAR,13.8,7.9,7.8,0.47,,3/5/2020,
1512,HEAR,9.1,7.8,2.8,0.37,,3/5/2020,
1513,HEAR,8.2,9.8,8,0.44,,3/5/2020,
1514,HEAR,10.4,9,6.2,0.33,,3/5/2020,
1515,HEAR,14.1,18.8,12.4,0.32,,3/5/2020,
1516,NO PLANT,,,,,,,
1517,SAME (Orange + Pink),13.9,5.2,5.1,0.23,,3/5/2020,
1518,HEAR,36.1,20.7,19.6,0.48,,3/5/2020,
1519,HEAR,6.8,6.9,6.3,0.31,,3/5/2020,
1520,HEAR,7.8,9.4,4.8,0.47,,3/5/2020,
1521,HEAR,7.3,9,7.1,0.3,,3/5/2020,
1522,HEAR,7.3,8.6,8.6,0.4,,3/5/2020,
1523,HEAR,13.4,13.1,10.4,0.4,,3/5/2020,
1524,HEAR,12.3,13.7,13.7,0.6,,3/5/2020,
1525,HEAR,8.4,7.1,4.1,0.3,,3/5/2020,
1526,HEAR,10.3,8.4,5.2,0.7,,3/5/2020,
1527,HEAR,6.6,9.4,7,0.6,,3/5/2020,
1528,HEAR,6.4,7.6,7.7,0.4,,3/5/2020,
1529,HEAR,5.7,10.6,4.5,0.4,,3/5/2020,
1530,HEAR,4.6,6.7,7.5,0.4,,3/5/2020,
1531,SANI (Orange + Yellow),10.1,10.6,10.6,0.3,,3/6/2020,
1532,SAME (Orange + Pink),10.5,7.8,7.2,0.3,,3/6/2020,
1533,SANI (Orange + Yellow),9.4,13.3,9.3,0.3,,3/6/2020,
1534,SANI (Orange + Yellow),6.8,20.9,10.7,0.4,,3/6/2020,
1535,HEAR,7.25,8.4,3.9,0.36,,3/5/2020,
1536,HEAR,8.6,7,4.9,0.41,,3/5/2020,
1537,HEAR,3.1,13.6,7.4,0.5,,3/5/2020,
1538,HEAR,6.3,8.25,6,0.38,,3/5/2020,
1539,HEAR,6.4,4.8,3.9,0.25,,3/5/2020,
1540,SANI (Orange + Yellow),5.5,12.1,9,0.5,,3/6/2020,
1541,SANI (Orange + Yellow),12.6,14.1,9.2,0.3,,3/6/2020,
1542,SAME (Orange + Pink),10.7,6.5,6.3,0.4,,3/6/2020,
1543,SAME (Orange + Pink),12.3,9.1,7.5,0.3,,3/6/2020,
1544,SANI (Orange + Yellow),7.1,14.1,8.3,0.4,,3/6/2020,
1545,SAME (Orange + Pink),3.4,1.8,1,0.2,,3/6/2020,
1546,SAME (Orange + Pink),6.5,5.3,5.1,0.3,,3/6/2020,
1547,SANI (Orange + Yellow),2.9,4.5,3.7,0.3,,3/6/2020,
1548,SANI (Orange + Yellow),7.6,16.1,11.4,0.3,,3/6/2020,
1549,SAME (Orange + Pink),6.1,4.1,2.6,0.2,,3/6/2020,
1550,SANI (Orange + Yellow),13.1,26.7,23.1,0.7,,3/6/2020,
1551,SANI (Orange + Yellow),9.1,15.1,14.4,0.3,,3/6/2020,
